article_id,Date,Headline,Snippet,Article_Sentiment_Score,Number_of_Sentiment_Words,Average_Article_Sentiment
83,2025-06-21T07:51:09Z,Brucke Financial Inc. Makes New Investment in Apple Inc. (NASDAQ:AAPL),"Brucke Financial Inc. acquired a new position in Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the fourth quarter, according to its most recent 13F filing with the Securities and Exchange Commission. Theâ€¦ [+6649 chars]",1,1,1
85,2025-06-21T08:01:00Z,When Will the iPhone 17 Be Released? We're Following All the Rumors and Leaks,"Of all the questions about the rumored iPhone 17, there's one that could settle all others: When is the release date?
All of the predictions and speculation about battery power, colors, price and moâ€¦ [+2679 chars]",-2,2,-1
87,2025-06-21T07:19:06Z,Apple Inc. (NASDAQ:AAPL) Position Cut by Virtue Capital Management LLC,"Virtue Capital Management LLC trimmed its stake in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 1.9% during the fourth quarter, according to its most recent disclosure with the SEC. The fund owned 38,17â€¦ [+6165 chars]",3,3,1
89,2025-06-21T15:00:52Z,iPhone 17 Pro Max Camera: 5 Game-Changing Leaks You Canâ€™t Miss!,"The iPhone 17 Pro and Pro Max are rumored to introduce a range of advanced camera features that could redefine mobile photography. With a focus on innovation and performance, these upgrades are expecâ€¦ [+4753 chars]",0,4,0
90,2025-06-21T05:01:33Z,iPhone 20th Anniversary: The Radical Redesign Revealed,"Apple is reportedly preparing a significant redesign to commemorate the 20th anniversary of the iPhone, set for release in 2027. Codenamed â€œGlass Wing,â€ the iPhone XX is anticipated to transform smarâ€¦ [+5246 chars]",0,2,0
91,2025-06-22T07:02:51Z,"Park Square Financial Group LLC Buys Shares of 28,541 Apple Inc. (NASDAQ:AAPL)","Park Square Financial Group LLC bought a new position in Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the fourth quarter, Holdings Channel reports. The institutional investor bought 28,541 shares of theâ€¦ [+6828 chars]",1,1,1
92,2025-06-22T07:02:47Z,Audent Global Asset Management LLC Has $8.71 Million Stock Holdings in Apple Inc. (NASDAQ:AAPL),"Audent Global Asset Management LLC grew its holdings in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 155.3% during the fourth quarter, HoldingsChannel.com reports. The firm owned 34,785 sharesâ€¦ [+6143 chars]",1,1,1
93,2025-06-22T07:58:51Z,"State of Alaska Department of Revenue Has $3.02 Million Holdings in Apple Hospitality REIT, Inc. (NYSE:APLE)","State of Alaska Department of Revenue lessened its holdings in shares of Apple Hospitality REIT, Inc. (NYSE:APLE â€“ Free Report) by 0.8% during the first quarter, according to the company in its most â€¦ [+5586 chars]",1,1,1
94,2025-06-22T07:02:49Z,Apple Inc. (NASDAQ:AAPL) is American Investment Services Inc.â€™s 9th Largest Position,"American Investment Services Inc. lessened its holdings in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 27.4% during the 4th quarter, HoldingsChannel.com reports. The fund owned 54,355 shares of the iPhâ€¦ [+6201 chars]",1,1,1
95,2025-06-22T07:36:50Z,"7,205 Shares in Apple Inc. (NASDAQ:AAPL) Bought by Arcadia Wealth Management Inc.","Arcadia Wealth Management Inc. acquired a new position in Apple Inc. (NASDAQ:AAPL â€“ Free Report) during the fourth quarter, according to the company in its most recent filing with the SEC. The fund aâ€¦ [+6808 chars]",1,1,1
96,2025-06-22T07:02:49Z,Ghe LLC Purchases New Position in Apple Inc. (NASDAQ:AAPL),"Ghe LLC purchased a new position in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) during the fourth quarter, HoldingsChannel reports. The fund purchased 800 shares of the iPhone makerâ€™s stock, valâ€¦ [+6630 chars]",1,1,1
